,O.diatom,E.diatom,OoverE.diatom,Onull.diatom,Enull.diatom,OoverE.null.diatom,BC.diatom,BC.null.diatom,Type.diatom,Type.diatom.1,MMI.diatom,Type.null.diatom,MMI.null.diatom,ASCI.diatom,ASCI.null.diatom,O.sba,E.sba,OoverE.sba,Onull.sba,Enull.sba,OoverE.null.sba,BC.sba,BC.null.sba,Type.sba,Type.sba.1,MMI.sba,Type.null.sba,MMI.null.sba,ASCI.sba,ASCI.null.sba,O.hybrid,E.hybrid,OoverE.hybrid,Onull.hybrid,Enull.hybrid,OoverE.null.hybrid,BC.hybrid,BC.null.hybrid,Type.hybrid,Type.hybrid.1,MMI.hybrid,Type.null.hybrid,MMI.null.hybrid,ASCI.hybrid,ASCI.null.hybrid,zed
632PS0014_8.3.09_1,10,10.94879416,0.913342589,10,8.674796748,1.152764761,0.183758835,0.135974459,rc,Reference,0.90101548,Reference,0.90101548,0.907179035,1.026890121,6,5.835914408,1.028116518,6,4.943349754,1.213751868,0.316653581,0.348188161,rc,Reference,1.090839982,Reference,1.090839982,1.05947825,1.152295925,10,8.058895852,1.240864776,12,10.00478469,1.199426112,0.298619463,0.185692542,rc,Reference,0.968975963,Reference,0.968975963,1.10492037,1.084201037,632PS0014_8.3.09_1
632PS0046_8.16.11_1,12,9.54848497,1.256743875,9,8.674796748,1.037488285,0.113767396,0.148727384,int,Intermediate,1.281563642,Intermediate,1.281563642,1.269153758,1.159525963,4,4.617026594,0.866358449,4,4.943349754,0.809167912,0.39510559,0.403470118,int,Intermediate,1.037899078,Intermediate,1.037899078,0.952128763,0.923533495,12,9.991862993,1.200977236,12,10.00478469,1.199426112,0.148824221,0.191563383,int,Intermediate,1.233119346,Intermediate,1.233119346,1.217048291,1.216272729,632PS0046_8.16.11_1
632PS0058_8.15.11_1,10,9.836903271,1.016580089,9,8.674796748,1.037488285,0.141791376,0.148727384,rc,Reference,0.969669423,Reference,0.969669423,0.993124756,1.003578854,3,5.042937856,0.594891328,4,4.943349754,0.809167912,0.510480284,0.467915175,rc,Reference,1.129606676,Reference,1.129606676,0.862249002,0.969387294,11,10.79676289,1.018823893,11,10.00478469,1.099473936,0.212058321,0.213667426,rc,Reference,1.00626684,Reference,1.00626684,1.012545367,1.052870388,632PS0058_8.15.11_1
632PS0110_7.8.13_1,10,9.576040813,1.044272909,10,8.674796748,1.152764761,0.159102935,0.144681469,other,Intermediate,1.070770133,Intermediate,1.070770133,1.057521521,1.111767447,2,4.073038431,0.491033913,3,4.943349754,0.606875934,0.471534543,0.470387597,other,Intermediate,0.879474169,Intermediate,0.879474169,0.685254041,0.743175052,10,9.87900379,1.012247815,11,10.00478469,1.099473936,0.186791947,0.207972665,other,Intermediate,1.04102927,Intermediate,1.04102927,1.026638542,1.070251603,632PS0110_7.8.13_1
632PS0110_8.5.13_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.612484994,0.276817759,1,4.943349754,0.202291978,0.58758199,0.679237464,int,Intermediate,0.82785485,Intermediate,0.82785485,0.552336304,0.515073414,9,10.5381422,0.854040478,9,10.00478469,0.899569584,0.23538855,0.254783484,int,Intermediate,0.902642097,Intermediate,0.902642097,0.878341288,0.901105841,632PS0110_8.5.13_1
632SVK001_8.27.14_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.745446964,1.456957666,9,4.943349754,1.820627803,0.18598516,0.290937997,rc,Reference,1.056854977,Reference,1.056854977,1.256906321,1.43874139,5,11.19871613,0.446479752,4,10.00478469,0.399808704,0.589801155,0.611889306,rc,Reference,0.888166624,Reference,0.888166624,0.667323188,0.643987664,632SVK001_8.27.14_1
632SVR002_7.24.10_1,10,9.324694741,1.072421165,8,8.674796748,0.922211809,0.171017797,0.180237283,int,Intermediate,0.857192933,Intermediate,0.857192933,0.964807049,0.889702371,4,2.712233419,1.474799319,6,4.943349754,1.213751868,0.191853665,0.359891965,int,Intermediate,1.096388661,Intermediate,1.096388661,1.28559399,1.155070265,12,10.02086606,1.197501287,11,10.00478469,1.099473936,0.192940514,0.205694761,int,Intermediate,0.953033099,Intermediate,0.953033099,1.075267193,1.026253517,632SVR002_7.24.10_1
632SVR002_7.24.10_2,12,9.324694741,1.286905398,10,8.674796748,1.152764761,0.125455735,0.135974459,other,Intermediate,0.962802386,Intermediate,0.962802386,1.124853892,1.057783574,4,2.712233419,1.474799319,5,4.943349754,1.01145989,0.191853665,0.38518702,other,Intermediate,0.916982246,Intermediate,0.916982246,1.195890783,0.964221068,13,10.02086606,1.297293061,12,10.00478469,1.199426112,0.17374333,0.185692542,other,Intermediate,0.94395132,Intermediate,0.94395132,1.120622191,1.071688716,632SVR002_7.24.10_2
632SVR002_7.24.10_3,8,9.324694741,0.857936932,7,8.674796748,0.806935333,0.241782033,0.244121715,other,Intermediate,0.883984068,Intermediate,0.883984068,0.8709605,0.8454597,4,2.712233419,1.474799319,7,4.943349754,1.416043847,0.191853665,0.33223345,other,Intermediate,1.058243157,Intermediate,1.058243157,1.266521238,1.237143502,11,10.02086606,1.097709513,10,10.00478469,0.99952176,0.226115582,0.247548433,other,Intermediate,0.980483165,Intermediate,0.980483165,1.039096339,0.990002462,632SVR002_7.24.10_3
633PS0003_7.22.08_1,9,8.731931094,1.030699842,7,8.674796748,0.806935333,0.278299369,0.280428769,rv,Reference,1.004070421,Reference,1.004070421,1.017385132,0.905502877,3,3.59804292,0.833786608,4,4.943349754,0.809167912,0.280536866,0.401266869,rv,Reference,0.85949902,Reference,0.85949902,0.846642814,0.834333466,11,10.79629491,1.018868055,10,10.00478469,0.99952176,0.26642952,0.27290122,rv,Reference,1.036908188,Reference,1.036908188,1.027888122,1.018214974,633PS0003_7.22.08_1
